Wavelength,Total
"379,894","0,524114164832728"
"380,186","0,525478943370749"
"380,478","0,54719186488224"
"380,771","0,520024067388688"
"381,063","0,520111120729682"
"381,355","0,52069484796398"
"381,647","0,506586496192648"
"381,939","0,525842761990634"
"382,232","0,506001916752277"
"382,524","0,50356264789438"
"382,816","0,500053262483786"
"383,108","0,504780835324082"
"383,4","0,493960731759446"
"383,692","0,501807972800115"
"383,984","0,491254804266761"
"384,276","0,477536540788977"
"384,568","0,478618221237863"
"384,86","0,471217094593718"
"385,152","0,459685459095441"
"385,444","0,474809100825931"
"385,736","0,463285688478596"
"386,028","0,466336428596086"
"386,32","0,468088378698535"
"386,612","0,469915224182541"
"386,904","0,468165291931354"
"387,196","0,458658230765432"
"387,487","0,461004553929542"
"387,779","0,463034388955859"
"388,071","0,470001730354629"
"388,363","0,464459362547179"
"388,655","0,464782810690133"
"388,946","0,464172699978851"
"389,238","0,459884563419455"
"389,53","0,470839981805448"
"389,821","0,470267270877647"
"390,113","0,467231081606687"
"390,405","0,470552520685403"
"390,696","0,473840838530237"
"390,988","0,474269877023619"
"391,279","0,474116410276325"
"391,571","0,482603928222695"
"391,863","0,48210946568196"
"392,154","0,482185018772696"
"392,446","0,482370537261286"
"392,737","0,487722389194044"
"393,029","0,490481268987125"
"393,32","0,491164467477471"
"393,611","0,491034968508393"
"393,903","0,48774844821567"
"394,194","0,491455530449149"
"394,486","0,490169180270183"
"394,777","0,490326342605514"
"395,068","0,493999965507131"
"395,36","0,493585298054324"
"395,651","0,495503209202916"
"395,942","0,500161543811229"
"396,233","0,501176530160525"
"396,525","0,500526344827586"
"396,816","0,501024462843354"
"397,107","0,503304588919695"
"397,398","0,500521391137358"
"397,689","0,499541926537372"
"397,98","0,502260719818278"
"398,272","0,501511503270005"
"398,563","0,503479166441449"
"398,854","0,507150361571306"
"399,145","0,509038427830299"
"399,436","0,510713557051743"
"399,727","0,51351523780286"
"400,018","0,51530432228922"
"400,309","0,515326923607612"
"400,6","0,514576358370626"
"400,891","0,515785104179644"
"401,182","0,515269239203587"
"401,472","0,517477002485132"
"401,763","0,518283295274489"
"402,054","0,517688379205695"
"402,345","0,519858842332184"
"402,636","0,519000497640982"
"402,927","0,515179507249935"
"403,217","0,515338762786243"
"403,508","0,514801831033768"
"403,799","0,515535747215563"
"404,09","0,514261182669832"
"404,38","0,513393538693353"
"404,671","0,517812828512387"
"404,962","0,518353177976187"
"405,252","0,516752867176128"
"405,543","0,517468046964959"
"405,834","0,51505045452019"
"406,124","0,514231752822774"
"406,415","0,51262747871952"
"406,705","0,511408187366445"
"406,996","0,513172896803742"
"407,286","0,514905213517619"
"407,577","0,514872734362849"
"407,867","0,511764805798378"
"408,158","0,510659714782021"
"408,448","0,50931225530811"
"408,739","0,511258962374277"
"409,029","0,512919593086375"
"409,319","0,510621227954086"
"409,61","0,513660188161448"
"409,9","0,514195997664881"
"410,19","0,516772863905323"
"410,481","0,51609720178441"
"410,771","0,515690559671787"
"411,061","0,511049809365039"
"411,351","0,508919240656392"
"411,642","0,506797862635778"
"411,932","0,505727318543093"
"412,222","0,506294694534096"
"412,512","0,505393763146914"
"412,802","0,504388616509408"
"413,092","0,50418492967946"
"413,382","0,502852846455954"
"413,672","0,501989217702949"
"413,962","0,503047550576915"
"414,253","0,50196005824387"
"414,543","0,498932821839363"
"414,833","0,497335254813681"
"415,122","0,498171153632417"
"415,412","0,499614206155377"
"415,702","0,500214907827559"
"415,992","0,501176462888805"
"416,282","0,502065653273397"
"416,572","0,503360337123551"
"416,862","0,500386752935526"
"417,152","0,497554039113783"
"417,442","0,499951027858645"
"417,731","0,498487528084619"
"418,021","0,495718000382048"
"418,311","0,495981759888524"
"418,601","0,495410242820018"
"418,89","0,494223311261581"
"419,18","0,491529649890128"
"419,47","0,491909735991698"
"419,759","0,491853894079464"
"420,049","0,491854197706873"
"420,339","0,492456944307828"
"420,628","0,490960964685191"
"420,918","0,486778001930781"
"421,207","0,484764456057148"
"421,497","0,484796856758062"
"421,786","0,486971221542877"
"422,076","0,488236346752879"
"422,365","0,486490481666121"
"422,655","0,486815823491294"
"422,944","0,486677248023584"
"423,234","0,487674880268869"
"423,523","0,48669723879514"
"423,812","0,486697355960425"
"424,102","0,48511803970219"
"424,391","0,486183138522326"
"424,68","0,484393358201965"
